"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_ability_item_iron_will_of_hephaestus_hp_bonus"                      "HP BONUS:"
		"DOTA_Tooltip_ability_item_iron_will_of_hephaestus_hp_regen"                      "HP REGEN:"

////=======================================================================================================================
// HEROES Tooltip
////======================================================================================================================= 	
////======================================================================================================================= 
// Lycan
////======================================================================================================================= 
        // Lycan's Summon Wolves
        ////===============================================================================================================       

        "DOTA_Tooltip_ability_imba_lycan_summon_wolves"                                     "Summon Wolves - <font color='#ffff00'><b>مخاوي الذيب</b></font>"
        "DOTA_Tooltip_ability_imba_lycan_summon_wolves_Description"                         "<font color='#ff0000'>Imported from Dota IMBA</font>\n Summons %wolves_count% wolves to fight with you. Wolves have passive evasion and invisibility, and their abilities and stats improve with their level.\n<font color='#FF7800'>The pack is for life:</font> wolves last until killed.\n<font color='#FF7800'>Wolf pack:</font> Lycan gains a charge of Wolf Pack every %charge_cooldown% seconds, up to a maximum of %max_charges%. Whenever a wolf dies, a stack is consumed and the wolf respawns near Lycan's location.\n<font color='#FF7800'>Alpha's leadership:</font> wolves gain bonus health based on Lycan's level." 
        "DOTA_Tooltip_ability_imba_lycan_summon_wolves_Note0"                               "Automatically revives wolves whenever there is a charge available, until the maximum of wolves is reached."
        "DOTA_Tooltip_ability_imba_lycan_summon_wolves_Lore"                                "<font color='#ffff00'><b>ياذيب أنا مثلك شموخي غريزه..اكره ردي الطبع واموت بالطيب..وعن الردى ياذيب نفسي عزيزه..يمكن أنا انسان في داخلي ذيب</b></font>"
        "DOTA_Tooltip_ability_imba_lycan_summon_wolves_wolf_type"                           "WOLF LEVEL:"
        "DOTA_Tooltip_ability_imba_lycan_summon_wolves_HP_bonus_per_lycan_level"            "BONUS HEALTH:"

        "DOTA_Tooltip_modifier_imba_lycan_wolf_charge"                                      "Wolf Pack"
        "DOTA_Tooltip_modifier_imba_lycan_wolf_charge_Description"                          "Whenever a wolf dies, a stack is consumed and another wolf joins Lycan."

        ////===============================================================================================================
        // Lycan's Wolfsbane
        ////===============================================================================================================       

        "DOTA_Tooltip_ability_imba_lycan_wolfsbane"                                         "Wolfsbane"
        "DOTA_Tooltip_ability_imba_lycan_wolfsbane_Description"                             "Passively increases Lycan and his wolves' damage whenever Lycan is near a kill with at least %minimum_allies_required% allies in a %radius% radius. This effect can only occur once every %prevent_modifier_duration% seconds.\n<font color='#FF7800'>Full Moon:</font> also decreases Shapeshift's cooldown with each stack of Wolfsbane.\n\n<font color='#00FF40'>Upgradable by Aghanim's Scepter.</font>"       
        "DOTA_Tooltip_ability_imba_lycan_wolfsbane_Note0"                                   "Lycan himself is ignored for the minimum ally count requirement, even when he holds a scepter."
        "DOTA_Tooltip_ability_imba_lycan_wolfsbane_Note1"                                   "If Lycan is Broken, Wolfsbane's damage bonus is removed from everyone benefitting it."
        "DOTA_Tooltip_ability_imba_lycan_wolfsbane_Lore"                                    "Lycan has devoted his life to the wolves that adopted him into their pack. Adapting his tactics to the neverending hunt in the Ancients' battlefield was a trivial matter." 
        "DOTA_Tooltip_ability_imba_lycan_wolfsbane_damage_bonus"                            "DAMAGE PER STACK:"
        "DOTA_Tooltip_ability_imba_lycan_wolfsbane_radius"                                  "KILL SEARCH RADIUS:"
        "DOTA_Tooltip_ability_imba_lycan_wolfsbane_aghanim_description"                     "Now grants damage to all allied heroes and player controlled creeps. Lycan no longer has to be present in a kill for Wolfsbane to trigger, but the minimum amount of allies is still required."

        "DOTA_Tooltip_modifier_imba_wolfsbane_wolves"                                       "Wolfsbane"
        "DOTA_Tooltip_modifier_imba_wolfsbane_wolves_Description"                           "Increased damage for each successful kill as a pack."

        "DOTA_Tooltip_modifier_imba_wolfsbane_lycan"                                        "Wolfsbane"
        "DOTA_Tooltip_modifier_imba_wolfsbane_lycan_Description"                            "Increased damage for each successful kill as a pack. Each stack reduces Shapeshift cooldown by 1 second."

        "DOTA_Tooltip_modifier_imba_wolfsbane_lycan_prevent"                                "Wolfsbane Cooldown"
        "DOTA_Tooltip_modifier_imba_wolfsbane_lycan_prevent_Description"                    "The pack has recently hunted! Cannot benefit from Wolfsbane for the duration."
 
        ////===============================================================================================================
        // Lycan's Howl
        ////===============================================================================================================       

        "DOTA_Tooltip_ability_imba_lycan_howl"                                              "Howl"
        "DOTA_Tooltip_ability_imba_lycan_howl_Description"                                  "Grants bonus damage and health to all allied heroes, as well as all units under their control. Howl's effect is doubled during the night. Lasts for %duration% seconds.\n<font color='#FF7800'>The wolf is at your door:</font> also increases movement speed.\n<font color='#FF7800'>Moon phase:</font> when cast at night, Howl also grants phased movement."
        "DOTA_Tooltip_ability_imba_lycan_howl_Note0"                                        "Ignores lane creeps."      
        "DOTA_Tooltip_ability_imba_lycan_howl_Lore"                                         "Blood-curdling wolf cries signal to opponents that Banehallow is among them."
        "DOTA_Tooltip_ability_imba_lycan_howl_bonus_damage_hero"                            "HERO DAMAGE BONUS:"
        "DOTA_Tooltip_ability_imba_lycan_howl_bonus_damage_units"                           "CREEP DAMAGE BONUS:"
        "DOTA_Tooltip_ability_imba_lycan_howl_bonus_health_heroes"                          "HERO HEALTH BONUS:"
        "DOTA_Tooltip_ability_imba_lycan_howl_bonus_health_units"                           "CREEP HEALTH BONUS:"
        "DOTA_Tooltip_ability_imba_lycan_howl_bonus_ms_heroes"                              "HERO MOVESPEED BONUS:"
        "DOTA_Tooltip_ability_imba_lycan_howl_bonus_ms_units"                               "CREEP MOVESPEED BONUS:"

        "DOTA_Tooltip_modifier_imba_howl_buff"                                              "Howl"
        "DOTA_Tooltip_modifier_imba_howl_buff_Description"                                  "Attack damage, move speed and maximum health increased. Phased if applied at night."

        ////===============================================================================================================
        // Lycan's Feral Impulse
        ////===============================================================================================================       

        "DOTA_Tooltip_ability_imba_lycan_feral_impulse"                                     "Feral Impulse"
        "DOTA_Tooltip_ability_imba_lycan_feral_impulse_Description"                         "Increases the damage and health regeneration of Lycan and all units under his control.\n<font color='#FF7800'>Welcome to the pack:</font> the more units and heroes affected by the aura, the stronger its effects become. Heroes grant double the bonus."
        "DOTA_Tooltip_ability_imba_lycan_feral_impulse_Note0"                               "Lycan is ignored when counting units affected by Feral Impulse."
        "DOTA_Tooltip_ability_imba_lycan_feral_impulse_Lore"                                "His animalistic symbiosis with canine kind gives Banehallow enhanced reflexes and hunting capabilities."
        "DOTA_Tooltip_ability_imba_lycan_feral_impulse_base_bonus_damage_perc"              "%DAMAGE BONUS:"
        "DOTA_Tooltip_ability_imba_lycan_feral_impulse_damage_inc_per_unit"                 "%DAMAGE BONUS PER ALLY:"
        "DOTA_Tooltip_ability_imba_lycan_feral_impulse_health_regen"                        "BONUS REGEN:"      
        "DOTA_Tooltip_ability_imba_lycan_feral_impulse_regen_inc_per_unit"                  "BONUS REGEN PER ALLY:"
        "DOTA_Tooltip_ability_imba_lycan_feral_impulse_aura_radius"                         "RADIUS:"       

        "DOTA_Tooltip_modifier_imba_feral_impulse"                                          "Feral Impulse"
        "DOTA_Tooltip_modifier_imba_feral_impulse_Description"                              "Attack damage and health regeneration increased."

        ////===============================================================================================================
        // Lycan's Shapeshift
        ////===============================================================================================================       

        "DOTA_Tooltip_ability_imba_lycan_shapeshift"                                        "Shapeshift"
        "DOTA_Tooltip_ability_imba_lycan_shapeshift_Description"                            "Lycan assumes his lupine form, granting him and his units immunity to slows, movement speed beyond the normal maximum, bonus night vision and a %crit_chance%%% chance to crit for %crit_damage%%% damage with their attacks.\n<font color='#FF7800'>Unbound savagery:</font> grants Lycan and his units a guaranteed critical on their next attack. This benefit is regained %certain_crit_cooldown% seconds after being used, as long as Lycan is still Shapeshifted."
        "DOTA_Tooltip_ability_imba_lycan_shapeshift_Lore"                                   "Forever a slave to his lycanthropy, Banehallow has come to accept his curse, and embrace his own savagery."
        "DOTA_Tooltip_ability_imba_lycan_shapeshift_duration"                               "DURATION:"
        "DOTA_Tooltip_ability_imba_lycan_shapeshift_night_vision_bonus"                     "BONUS NIGHT VISION:"
        "DOTA_Tooltip_ability_imba_lycan_shapeshift_absolute_speed"                         "HASTED SPEED:"

        "DOTA_Tooltip_modifier_imba_shapeshift"                                             "Shapeshift"
        "DOTA_Tooltip_modifier_imba_shapeshift_Description"                                 "Unslowable, and moving beyond normal maximum speed. Attacks have a chance to crit."

        "DOTA_Tooltip_modifier_imba_shapeshift_transform"                                   "Shapeshift"
        "DOTA_Tooltip_modifier_imba_shapeshift_transform_Description"                       "Transformed into a wolf."

        "DOTA_Tooltip_modifier_imba_shapeshift_certain_crit"                                "Unbound Savagery"
        "DOTA_Tooltip_modifier_imba_shapeshift_certain_crit_Description"                    "Next attack will be a guaranteed critical hit."

        ////===============================================================================================================
        // Lycan's Unit: Summoned Wolves
        ////===============================================================================================================               

        "npc_lycan_wolf1"                                                                   "Wolf Pup"
        "npc_lycan_wolf2"                                                                   "Wolf"
        "npc_lycan_wolf3"                                                                   "Dire Wolf"
        "npc_lycan_wolf4"                                                                   "Alpha Wolf"
        "npc_lycan_wolf5"                                                                   "Shadow Wolf"
        "npc_lycan_wolf6"                                                                   "Nightclaw"

        ////===============================================================================================================
        // Lycan's Summoned Wolves: Wicked Crunch
        ////===============================================================================================================       

        "DOTA_Tooltip_ability_imba_summoned_wolf_wicked_crunch"                             "Wicked Crunch"
        "DOTA_Tooltip_ability_imba_summoned_wolf_wicked_crunch_Description"                 "Lycan's wolves use their vicious bite to crunch enemies' muscles, lowering their attack speed. Every attack adds a stack of Wicked Crunch to the target, up to %max_stacks%.\n<font color='#FF7800'>Top of the food chain:</font> if Lycan attacks a target with Wicked Crunch stacks, they are all consumed, dealing massive bonus damage, and lifestealing 100%% of that damage.\n<font color='#FF7800'>Savage feast:</font> wolves chew the meat off their targets, recovering %fixed_lifesteal% health with each attack."
        "DOTA_Tooltip_ability_imba_summoned_wolf_wicked_crunch_Note0"                       "Attack speed loss does not depend on stack amount."            
        "DOTA_Tooltip_ability_imba_summoned_wolf_wicked_crunch_Lore"                        "Wolf packs are incredibly organized, even amidst the chaos of the hunt. Lower ranked wolves will rip apart their prey's flesh, only for the Alpha to feast on the tender meat within."
        "DOTA_Tooltip_ability_imba_summoned_wolf_wicked_crunch_damage_bonus_per_stack"      "DAMAGE PER STACK:"
        "DOTA_Tooltip_ability_imba_summoned_wolf_wicked_crunch_duration"                    "DURATION:"
        "DOTA_Tooltip_ability_imba_summoned_wolf_wicked_crunch_attack_speed_reduction"      "ATTACK SPEED SLOW:"

        "DOTA_Tooltip_modifier_imba_summoned_wolf_wicked_crunch_debuff"                     "Wicked Crunch"
        "DOTA_Tooltip_modifier_imba_summoned_wolf_wicked_crunch_debuff_Description"         "Next Lycan attack will lifesteal and deal bonus damage."

        ////===============================================================================================================
        // Lycan's Summoned Wolves: Hunter Instincts
        ////===============================================================================================================       

        "DOTA_Tooltip_ability_imba_summoned_wolf_hunter_instincts"                          "Hunter Instincts"
        "DOTA_Tooltip_ability_imba_summoned_wolf_hunter_instincts_Description"              "Grants a chance to evade attacks."
        "DOTA_Tooltip_ability_imba_summoned_wolf_hunter_instincts_Lore"                     "Lycan's Wolves are nimble and cunning, surprising many a hero by dodging surefire blows with their sharp instincts."
        "DOTA_Tooltip_ability_imba_summoned_wolf_hunter_instincts_evasion"                  "%EVASION:"

        ////===============================================================================================================
        // Lycan's Summoned Wolves: Invisibility
        ////===============================================================================================================       

        "DOTA_Tooltip_ability_imba_summoned_wolf_invisibility"                              "Invisibility"
        "DOTA_Tooltip_ability_imba_summoned_wolf_invisibility_Description"                  "Allows Wolves to disappear after not attacking for a certain amount of time. Detectable with true sight."
        "DOTA_Tooltip_ability_imba_summoned_wolf_invisibility_Lore"                         "Wolves are silent scouts, stalking their prey until the moment to strike arrives."
        "DOTA_Tooltip_ability_imba_summoned_wolf_invisibility_fade_time"                    "FADE TIME:"
                                                                           

        ////===============================================================================================================
        // Lycan's Custom Talents
        ////===============================================================================================================       

        "DOTA_Tooltip_ability_special_bonus_imba_lycan_1"                       "+1 Wolves power level"     
        "DOTA_Tooltip_ability_special_bonus_imba_lycan_2"                       "+2%/2 Feral Impulse damage/regen per ally"
        "DOTA_Tooltip_ability_special_bonus_imba_lycan_3"                       "+12 Howl duration"
        "DOTA_Tooltip_ability_special_bonus_imba_lycan_4"                       "+2 Wolfsbane damage per stack"         
        "DOTA_Tooltip_ability_special_bonus_imba_lycan_5"                       "+2 Maximum summoned wolves/charges"
        "DOTA_Tooltip_ability_special_bonus_imba_lycan_6"                       "x2 Wicked Crunch on-hit stacks/max stacks"
        "DOTA_Tooltip_ability_special_bonus_imba_lycan_7"                       "Increase Howl's potency (details in Howl)"
        "DOTA_Tooltip_ability_special_bonus_imba_lycan_8"                       "+15 Shapeshift duration"

	}
}
